FILEID,STUSAB,SUMLEV,GEOCOMP,CHARITER,LOGRECNU,LOGRECPN,PARTREC,ANRC,AIANACE,AIANAFP,AIANACC,ARTLI,BLCK,BLCKGR,TRACTBNA,CONGDIS,CONCITCE,CONCITFP,CONCITCC,CONCITSC,CMSA,CNTY,CNTYSC,COUSUBCE,COUSUBFP,COUSUBCC,COUSUBSC,DIVIS,EXTCITIN,INTUC,MSACMSA,MSACMSAS,PLACECE,PLACEFP,PLACECC,PLACEDC,PLACESC,PMSA,REG,STATECE,STATEFP,URBANRUR,URBAREA,UASC,SAC1,SAC2,SAC3,SAC4,SAC5,SAC6,SAC7,SAC8,SAC9,SAC10,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,GCUNI,HU100,INTPTLAT,INTPTLNG,PARTFLAG,PSADC,POP100,SPFLAG,P1I1,P2I1,P2I2,P2I3,P2I4,P2I5,P3I1,P3I2,P3I3,P3I4,P3I5,P4I1,P4I2,P4I3,P4I4,P4I5,P4I6,P5I1,P5I2,P5I3,P5I4,P5I5,P5I6,H1I1
PL94-171,TX,50,0,0,8656,1,1, , , , , , , , , , , , , ,!!,11,!!, , , , ,7, , ,!!!!,!!, , , , , ,!!!!,3,74,48, , , , , , , , , , , ,1, ,2366417,459,Armstrong County,A,!,916,34965951,-101352778, ,6,2021,!,2021,1976,0,10,7,28,1429,0,8,6,16,55,1951,0,9,5,1,33,1414,0,7,4,1,916
PL94-171,TX,140,0,0,8657,1,1, , , , , , , ,9501, , , , , ,!!,11,!!, , , , ,7, , ,!!!!,!!, , , , , ,!!!!,3,74,48, , , , , , , , , , , ,1, ,835996,134,BNA 9501,S, ,266,35096896,-101368681, , ,568,!,568,562,0,5,1,0,388,0,5,1,0,11,553,0,4,0,0,7,383,0,4,0,0,266
PL94-171,TX,140,0,0,8658,1,1, , , , , , , ,9502, , , , , ,!!,11,!!, , , , ,7, , ,!!!!,!!, , , , , ,!!!!,3,74,48, , , , , , , , , , , ,1, ,1530421,325,BNA 9502,S, ,650,34893706,-101331300, , ,1453,!,1453,1414,0,5,6,28,1041,0,3,5,16,44,1398,0,5,5,1,26,1031,0,3,4,1,650
PL94-171,TX,700,0,0,8659,1,1, , , , , , , , , , , , , , ,11,!!, , , , ,7, , , , , , , , , , ,3,74,48, , , , , ,7, , , , , ,3,P,289076,0,VTD 0007,N, ,68,34809913,-101503401,0, ,123,!,123,119,0,0,0,4,85,0,0,0,2,4,119,0,0,0,0,2,85,0,0,0,0,68
PL94-171,TX,710,0,0,8660,1,1, , , , , , , , , , , , , , ,11,!!,5,90745,Z5,!!,7, , , , , , , , , , ,3,74,48, , , , , ,7, , , , , ,3,P,289076,0,Claude South division (pt.),S,!,68,34809913,-101503401,1,22,123,!,123,119,0,0,0,4,85,0,0,0,2,4,119,0,0,0,0,2,85,0,0,0,0,68
PL94-171,TX,700,0,0,8693,1,1, , , , , , , , , , , , , , ,11,!!, , , , ,7, , , , , , , , , , ,3,74,48, , , , , ,ZZZZ, , , , , ,1,P,2077341,459,VTD's not defined,N, ,848,34982422,-101335018,0, ,1898,!,1898,1857,0,10,7,24,1344,0,8,6,14,51,1832,0,9,5,1,31,1329,0,7,4,1,848
PL94-171,TX,710,0,0,8694,1,1, , , , , , , , , , , , , , ,11,!!,3,90740,Z5,!!,7, , , , , , , , , , ,3,74,48, , , , , ,ZZZZ, , , , , ,1,P,835996,134,Claude North division,S,!,266,35096896,-101368681,0,22,568,!,568,562,0,5,1,0,388,0,5,1,0,11,553,0,4,0,0,7,383,0,4,0,0,266
PL94-171,TX,710,0,0,8881,1,1, , , , , , , , , , , , , , ,11,!!,5,90745,Z5,!!,7, , , , , , , , , , ,3,74,48, , , , , ,ZZZZ, , , , , ,1,P,1241345,325,Claude South division (pt.),S,!,582,34906022,-101317845,1,22,1330,!,1330,1295,0,5,6,24,956,0,3,5,14,40,1279,0,5,5,1,24,946,0,3,4,1,582
PL94-171,TX,60,0,0,551644,1,1, , , , , , , , , , , , , ,!!,11,!!,3,90740,Z5,!!,7, , ,!!!!,!!, , , , , ,!!!!,3,74,48, , , , , , , , , , , ,1, ,835996,134,Claude North division,S,!,266,35096896,-101368681, ,22,568,!,568,562,0,5,1,0,388,0,5,1,0,11,553,0,4,0,0,7,383,0,4,0,0,266
PL94-171,TX,60,0,0,551645,1,1, , , , , , , , , , , , , ,!!,11,!!,5,90745,Z5,!!,7, , ,!!!!,!!, , , , , ,!!!!,3,74,48, , , , , , , , , , , ,1, ,1530421,325,Claude South division,S,!,650,34893706,-101331300, ,22,1453,!,1453,1414,0,5,6,28,1041,0,3,5,16,44,1398,0,5,5,1,26,1031,0,3,4,1,650
PL94-171,TX,720,0,0,8695,1,1, , , , , , , , , ,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,1467,0,Claude city (pt.),A,!,22,35116085,-101364435,1,58,53,!,53,52,0,1,0,0,36,0,1,0,0,0,52,0,1,0,0,0,36,0,1,0,0,22
PL94-171,TX,730,0,0,8696,1,1, , , , , , , ,9501, ,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,1467,0,BNA 9501 (pt.),S, ,22,35116085,-101364435,1, ,53,!,53,52,0,1,0,0,36,0,1,0,0,0,52,0,1,0,0,0,36,0,1,0,0,22
PL94-171,TX,740,0,0,8697,1,1, , , , , , ,1,9501, ,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,994,0,BG 1 (pt.),S, ,17,35116085,-101364435,1, ,37,!,37,37,0,0,0,0,29,0,0,0,0,0,37,0,0,0,0,0,29,0,0,0,0,17
PL94-171,TX,750,0,0,8698,1,1,99,9999,99999,99,9,149A,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,236,0,Block 149A,S, ,2,35116085,-101364435, , ,7,!,7,7,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,2
PL94-171,TX,750,0,0,8699,1,1,99,9999,99999,99,9,174A,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,398,0,Block 174A,S, ,12,35113033,-101372783, , ,26,!,26,26,0,0,0,0,22,0,0,0,0,0,26,0,0,0,0,0,22,0,0,0,0,12
PL94-171,TX,750,0,0,8700,1,1,99,9999,99999,99,9,175A,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,193,0,Block 175A,S, ,0,35115340,-101358656, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8701,1,1,99,9999,99999,99,9,175B,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,60,0,Block 175B,S, ,0,35110951,-101355363, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8702,1,1,99,9999,99999,99,9,176,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,61,0,Block 176,S, ,3,35112858,-101355968, , ,4,!,4,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3
PL94-171,TX,750,0,0,8703,1,1,99,9999,99999,99,9,177,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,14,0,Block 177,S, ,0,35114310,-101358634, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8704,1,1,99,9999,99999,99,9,178,1,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,32,0,Block 178,S, ,0,35109143,-101352529, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,740,0,0,8705,1,1, , , , , , ,2,9501, ,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,473,0,BG 2 (pt.),S, ,5,35101886,-101367258,1, ,16,!,16,15,0,1,0,0,7,0,1,0,0,0,15,0,1,0,0,0,7,0,1,0,0,5
PL94-171,TX,750,0,0,8706,1,1,99,9999,99999,99,9,201A,2,9501,13,9,99999,99,!!, ,11,!!,3,90740,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,473,0,Block 201A,S, ,5,35101886,-101367258, , ,16,!,16,15,0,1,0,0,7,0,1,0,0,0,15,0,1,0,0,0,7,0,1,0,0,5
PL94-171,TX,720,0,0,8882,1,1, , , , , , , , , ,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,2972,0,Claude city (pt.),A,!,477,35106423,-101360024,1,58,1146,!,1146,1111,0,5,6,24,823,0,3,5,14,40,1095,0,5,5,1,24,813,0,3,4,1,477
PL94-171,TX,730,0,0,8883,1,1, , , , , , , ,9502, ,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,2972,0,BNA 9502 (pt.),S, ,477,35106423,-101360024,1, ,1146,!,1146,1111,0,5,6,24,823,0,3,5,14,40,1095,0,5,5,1,24,813,0,3,4,1,477
PL94-171,TX,740,0,0,8884,1,1, , , , , , ,2,9502, ,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,1014,0,BG 2,S, ,284,35108628,-101368861,0, ,637,!,637,622,0,1,0,14,472,0,1,0,9,19,617,0,1,0,0,13,468,0,1,0,0,284
PL94-171,TX,750,0,0,8885,1,1,99,9999,99999,99,9,201,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,58,0,Block 201,S, ,1,35112916,-101364065, , ,1,!,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
PL94-171,TX,750,0,0,8886,1,1,99,9999,99999,99,9,202,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,39,0,Block 202,S, ,0,35113228,-101368914, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8887,1,1,99,9999,99999,99,9,203,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,32,0,Block 203,S, ,3,35112989,-101367613, , ,4,!,4,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3
PL94-171,TX,750,0,0,8888,1,1,99,9999,99999,99,9,204,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,11,0,Block 204,S, ,2,35113310,-101366365, , ,3,!,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2
PL94-171,TX,750,0,0,8889,1,1,99,9999,99999,99,9,205,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 205,S, ,6,35112200,-101365075, , ,17,!,17,17,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,0,6
PL94-171,TX,750,0,0,8890,1,1,99,9999,99999,99,9,206,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,14,0,Block 206,S, ,4,35112212,-101366342, , ,5,!,5,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,4
PL94-171,TX,750,0,0,8891,1,1,99,9999,99999,99,9,207,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,15,0,Block 207,S, ,8,35111032,-101366334, , ,26,!,26,26,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,18,0,0,0,0,8
PL94-171,TX,750,0,0,8892,1,1,99,9999,99999,99,9,208,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 208,S, ,9,35111045,-101365074, , ,20,!,20,20,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0,15,0,0,0,0,9
PL94-171,TX,750,0,0,8893,1,1,99,9999,99999,99,9,209,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,18,0,Block 209,S, ,9,35111045,-101363695, , ,31,!,31,26,0,0,0,5,12,0,0,0,2,5,26,0,0,0,0,2,12,0,0,0,0,9
PL94-171,TX,750,0,0,8894,1,1,99,9999,99999,99,9,210,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,5,0,Block 210,S, ,0,35111733,-101363812, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8895,1,1,99,9999,99999,99,9,211,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,18,0,Block 211,S, ,7,35109832,-101363687, , ,9,!,9,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,7
PL94-171,TX,750,0,0,8896,1,1,99,9999,99999,99,9,212,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,15,0,Block 212,S, ,10,35109843,-101365073, , ,21,!,21,20,0,1,0,0,14,0,1,0,0,0,20,0,1,0,0,0,14,0,1,0,0,10
PL94-171,TX,750,0,0,8897,1,1,99,9999,99999,99,9,213,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,15,0,Block 213,S, ,7,35109843,-101366333, , ,14,!,14,14,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,7
PL94-171,TX,750,0,0,8898,1,1,99,9999,99999,99,9,214,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,15,0,Block 214,S, ,7,35109807,-101367594, , ,20,!,20,20,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,0,12,0,0,0,0,7
PL94-171,TX,750,0,0,8899,1,1,99,9999,99999,99,9,215,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 215,S, ,6,35111021,-101367602, , ,12,!,12,12,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,6
PL94-171,TX,750,0,0,8900,1,1,99,9999,99999,99,9,216,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 216,S, ,7,35111008,-101368890, , ,16,!,16,16,0,0,0,0,15,0,0,0,0,1,15,0,0,0,0,1,14,0,0,0,0,7
PL94-171,TX,750,0,0,8901,1,1,99,9999,99999,99,9,217,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 217,S, ,4,35111007,-101370192, , ,12,!,12,12,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,9,0,0,0,0,4
PL94-171,TX,750,0,0,8902,1,1,99,9999,99999,99,9,218,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 218,S, ,6,35111007,-101371481, , ,18,!,18,18,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,6
PL94-171,TX,750,0,0,8903,1,1,99,9999,99999,99,9,219,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 219,S, ,0,35110995,-101372769, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8904,1,1,99,9999,99999,99,9,220,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,13,0,Block 220,S, ,0,35110983,-101373968, , ,0,!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL94-171,TX,750,0,0,8905,1,1,99,9999,99999,99,9,221,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,14,0,Block 221,S, ,5,35109792,-101373963, , ,10,!,10,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,5
PL94-171,TX,750,0,0,8906,1,1,99,9999,99999,99,9,222,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 222,S, ,3,35109793,-101372761, , ,5,!,5,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3
PL94-171,TX,750,0,0,8907,1,1,99,9999,99999,99,9,223,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 223,S, ,6,35109805,-101371473, , ,15,!,15,15,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,6
PL94-171,TX,750,0,0,8908,1,1,99,9999,99999,99,9,224,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 224,S, ,7,35109795,-101370177, , ,21,!,21,21,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0,7
PL94-171,TX,750,0,0,8909,1,1,99,9999,99999,99,9,225,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 225,S, ,8,35109807,-101368875, , ,13,!,13,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,8
PL94-171,TX,750,0,0,8910,1,1,99,9999,99999,99,9,226,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,15,0,Block 226,S, ,7,35108628,-101368861, , ,13,!,13,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,7
PL94-171,TX,750,0,0,8911,1,1,99,9999,99999,99,9,227,2,9502,13,9,99999,99,!!, ,11,!!,5,90745,Z5,!!,7, , , , ,850,15196,C1,!,!!, ,3,74,48, , , , , ,ZZZZ, , , , , ,3,P,16,0,Block 227,S, ,6,35108628,-101370170, , ,11,!,11,11,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,6
